Station;Polluant;Mesure;Unité;01/01/2016;02/01/2016;03/01/2016;04/01/2016;05/01/2016;06/01/2016;07/01/2016;08/01/2016;09/01/2016;10/01/2016;11/01/2016;12/01/2016;13/01/2016;14/01/2016;15/01/2016;16/01/2016;17/01/2016;18/01/2016;19/01/2016;20/01/2016;21/01/2016;22/01/2016;23/01/2016;24/01/2016;25/01/2016;26/01/2016;27/01/2016;28/01/2016;29/01/2016;30/01/2016;31/01/2016;01/02/2016;02/02/2016;03/02/2016;04/02/2016;05/02/2016;06/02/2016;07/02/2016;08/02/2016;09/02/2016;10/02/2016;11/02/2016;12/02/2016;13/02/2016;14/02/2016;15/02/2016;16/02/2016;17/02/2016;18/02/2016;19/02/2016;20/02/2016;21/02/2016;22/02/2016;23/02/2016;24/02/2016;25/02/2016;26/02/2016;27/02/2016;28/02/2016;29/02/2016;01/03/2016;02/03/2016;03/03/2016;04/03/2016;05/03/2016;06/03/2016;07/03/2016;08/03/2016;09/03/2016;10/03/2016;11/03/2016;12/03/2016;13/03/2016;14/03/2016;15/03/2016;16/03/2016;17/03/2016;18/03/2016;19/03/2016;20/03/2016;21/03/2016;22/03/2016;23/03/2016;24/03/2016;25/03/2016;26/03/2016;27/03/2016;28/03/2016;29/03/2016;30/03/2016;31/03/2016;01/04/2016;02/04/2016;03/04/2016;04/04/2016;05/04/2016;06/04/2016;07/04/2016;08/04/2016;09/04/2016;10/04/2016;11/04/2016;12/04/2016;13/04/2016;14/04/2016;15/04/2016;16/04/2016;17/04/2016;18/04/2016;19/04/2016;20/04/2016;21/04/2016;22/04/2016;23/04/2016;24/04/2016;25/04/2016;26/04/2016;27/04/2016;28/04/2016;29/04/2016;30/04/2016;01/05/2016;02/05/2016;03/05/2016;04/05/2016;05/05/2016;06/05/2016;07/05/2016;08/05/2016;09/05/2016;10/05/2016;11/05/2016;12/05/2016;13/05/2016;14/05/2016;15/05/2016;16/05/2016;17/05/2016;18/05/2016;19/05/2016;20/05/2016;21/05/2016;22/05/2016;23/05/2016;24/05/2016;25/05/2016;26/05/2016;27/05/2016;28/05/2016;29/05/2016;30/05/2016;31/05/2016;01/06/2016;02/06/2016;03/06/2016;04/06/2016;05/06/2016;06/06/2016;07/06/2016;08/06/2016;09/06/2016;10/06/2016;11/06/2016;12/06/2016;13/06/2016;14/06/2016;15/06/2016;16/06/2016;17/06/2016;18/06/2016;19/06/2016;20/06/2016;21/06/2016;22/06/2016;23/06/2016;24/06/2016;25/06/2016;26/06/2016;27/06/2016;28/06/2016;29/06/2016;30/06/2016;01/07/2016;02/07/2016;03/07/2016;04/07/2016;05/07/2016;06/07/2016;07/07/2016;08/07/2016;09/07/2016;10/07/2016;11/07/2016;12/07/2016;13/07/2016;14/07/2016;15/07/2016;16/07/2016;17/07/2016;18/07/2016;19/07/2016;20/07/2016;21/07/2016;22/07/2016;23/07/2016;24/07/2016;25/07/2016;26/07/2016;27/07/2016;28/07/2016;29/07/2016;30/07/2016;31/07/2016;01/08/2016;02/08/2016;03/08/2016;04/08/2016;05/08/2016;06/08/2016;07/08/2016;08/08/2016;09/08/2016;10/08/2016;11/08/2016;12/08/2016;13/08/2016;14/08/2016;15/08/2016;16/08/2016;17/08/2016;18/08/2016;19/08/2016;20/08/2016;21/08/2016;22/08/2016;23/08/2016;24/08/2016;25/08/2016;26/08/2016;27/08/2016;28/08/2016;29/08/2016;30/08/2016;31/08/2016;01/09/2016;02/09/2016;03/09/2016;04/09/2016;05/09/2016;06/09/2016;07/09/2016;08/09/2016;09/09/2016;10/09/2016;11/09/2016;12/09/2016;13/09/2016;14/09/2016;15/09/2016;16/09/2016;17/09/2016;18/09/2016;19/09/2016;20/09/2016;21/09/2016;22/09/2016;23/09/2016;24/09/2016;25/09/2016;26/09/2016;27/09/2016;28/09/2016;29/09/2016;30/09/2016;01/10/2016;02/10/2016;03/10/2016;04/10/2016;05/10/2016;06/10/2016;07/10/2016;08/10/2016;09/10/2016;10/10/2016;11/10/2016;12/10/2016;13/10/2016;14/10/2016;15/10/2016;16/10/2016;17/10/2016;18/10/2016;19/10/2016;20/10/2016;21/10/2016;22/10/2016;23/10/2016;24/10/2016;25/10/2016;26/10/2016;27/10/2016;28/10/2016;29/10/2016;30/10/2016;31/10/2016;01/11/2016;02/11/2016;03/11/2016;04/11/2016;05/11/2016;06/11/2016;07/11/2016;08/11/2016;09/11/2016;10/11/2016;11/11/2016;12/11/2016;13/11/2016;14/11/2016;15/11/2016;16/11/2016;17/11/2016;18/11/2016;19/11/2016;20/11/2016;21/11/2016;22/11/2016;23/11/2016;24/11/2016;25/11/2016;26/11/2016;27/11/2016;28/11/2016;29/11/2016;30/11/2016;01/12/2016;02/12/2016;03/12/2016;04/12/2016;05/12/2016;06/12/2016;07/12/2016;08/12/2016;09/12/2016;10/12/2016;11/12/2016;12/12/2016;13/12/2016;14/12/2016;15/12/2016;16/12/2016;17/12/2016;18/12/2016;19/12/2016;20/12/2016;21/12/2016;22/12/2016;23/12/2016;24/12/2016;25/12/2016;26/12/2016;27/12/2016;28/12/2016;29/12/2016;30/12/2016;31/12/2016
"Villeurbanne Place Grandclément";"Dioxyde d'azote";"Dioxyde d'azote";microg/m3;44;58;41;-;-;-;52;53;55;39;31;53;-;-;44;27;39;59;52;43;44;63;48;70;80;66;43;76;63;45;43;61;79;36;50;61;27;43;35;29;49;66;52;33;36;16;18;42;76;50;64;69;79;54;60;41;55;43;27;24;49;52;58;54;42;39;63;32;54;32;26;24;20;41;34;31;47;57;55;31;23;20;17;22;78;50;39;26;55;29;50;22;37;26;46;55;36;31;17;28;32;29;29;53;56;41;20;16;27;14;56;59;44;18;7;28;44;36;34;60;53;13;16;19;14;28;30;35;25;52;39;53;53;35;14;5;12;27;38;27;36;30;23;27;13;49;61;61;35;36;38;44;29;44;21;19;11;41;38;19;9;50;24;20;39;37;31;40;36;22;8;26;39;45;40;34;13;9;14;-;-;32;45;21;16;19;27;15;27;47;16;49;28;29;23;12;8;8;19;54;61;57;28;36;17;8;13;11;13;25;38;43;18;16;44;40;40;15;10;7;27;11;7;9;24;43;38;26;36;42;43;39;38;16;12;50;77;64;81;36;25;14;24;68;21;43;77;40;31;10;50;33;17;33;31;55;44;73;51;56;17;19;21;18;34;53;57;66;31;27;35;83;52;28;48;27;17;25;38;37;53;32;18;24;21;50;38;62;52;45;54;41;34;26;40;46;38;41;45;17;27;30;27;35;44;58;36;33;49;37;28;61;41;57;65;29;49;43;24;56;61;56;33;55;14;32;48;39;62;51;56;30;-;-;-;-;-;-;-;-;64;69;117;95;106;64;40;62;62;122;79;52;41;53;43;51;65;61;62;55;59;20;47;51;53;56
"Villeurbanne Place Grandclément";"Particules PM10";"Particules PM10";microg/m3;26;18;19;-;-;-;17;23;24;12;13;16;33;34;22;13;20;31;24;31;33;46;25;47;54;41;-;42;35;31;18;24;49;21;23;34;22;17;15;12;19;25;19;14;15;15;15;26;48;18;31;25;41;45;21;21;22;30;37;45;40;20;11;16;10;13;31;14;24;17;23;41;29;-;-;23;23;33;43;57;48;20;21;18;44;30;14;13;25;19;23;16;23;26;30;34;16;14;10;11;23;17;18;18;15;15;13;11;11;9;18;33;20;10;13;7;16;-;15;20;22;8;9;7;10;14;26;22;31;-;28;20;14;14;16;13;12;12;51;13;15;17;16;9;8;18;26;29;27;15;12;15;9;17;9;12;10;14;23;17;14;19;16;10;17;14;15;15;18;11;10;11;20;20;24;24;13;10;8;15;-;17;16;17;12;12;15;12;12;26;17;24;28;17;13;11;9;9;12;31;29;-;31;23;16;14;15;15;16;17;14;22;14;11;18;17;25;9;11;10;14;16;17;13;12;16;15;15;16;22;20;13;18;14;10;19;25;21;27;23;18;16;13;31;20;18;31;28;19;7;20;20;18;18;22;33;39;45;24;18;13;7;20;17;21;23;31;26;24;13;18;28;29;23;18;14;10;10;19;15;27;24;14;-;-;24;22;19;17;25;30;21;16;12;19;19;22;31;15;16;18;26;24;26;38;38;36;16;38;14;12;25;19;20;22;11;26;34;20;31;46;33;16;18;13;13;9;21;21;27;35;34;19;26;61;70;44;51;41;62;77;66;86;94;89;78;28;54;58;97;71;61;39;25;42;56;54;49;42;40;28;15;28;38;52;52
